OBJECT 0 straight_road

TEXTURE	floor01
TYPE	left_curb


QUADTEX		0.00  0.00   0.00	0.0	2.0
		0.00  240.00   0.00	0.0	0.0
		0.00  240.00  60.00	1.0	0.0
		0.00  0.00  60.00	1.0	2.0


TYPE	right_curb

QUADTEX		160.00 240.00   0.00	1.0	0.0
		160.00 0.00   0.00			1.0	2.0
		160.00 0.00  60.00			0.0	2.0
		160.00 240.00  60.00		0.0	0.0

TEXTURE	tile
TYPE	road_surface

QUADTEX 	0.00  0.00  60.00		0.0		0.0
		80.00  0.00  60.00		1.0		0.0
		80.00  0.00   0.00		1.0		1.0
		0.00  0.00   0.00		0.0		1.0
		

QUADTEX   80.00  0.00  60.00		0.0		0.0
		 160.00  0.00  60.00		1.0		0.0
		 160.00  0.00   0.00		1.0		1.0
		  80.00  0.00   0.00		0.0		1.0

TEXTURE	floord
TYPE	road_top

QUADTEX 	0.00  240.00   0.00		0.0		0.0
		80.00  240.00   0.00		1.0		0.0
		80.00  240.00  60.00		1.0		1.0
		0.00  240.00  60.00		0.0		1.0

QUADTEX 	  80.00  240.00   0.00		0.0		0.0
		 160.00  240.00   0.00		1.0		0.0
		 160.00  240.00  60.00		1.0		1.0
		  80.00  240.00  60.00		0.0		1.0

CONNECTION 0.00  0.00 60.00



OBJECT 1 left_curve_road

TEXTURE	tile
TYPE	left_pave

QUADTEX		160.00 0.00 0.00	0.0	0.0
		 0.00  0.00   0.00		2.0	0.0
	    -0.76  0.00  17.43		2.0	0.3333
		158.6  0.00 31.38		0.0	0.3333

QUADTEX	158.6  0.00 31.38		0.0	0.3333
		-0.76  0.00  17.43		2.0	0.3333
		-3.038 0.00  34.73		2.0	0.6666
		154.50 0.00 62.51		0.0	0.6666

QUADTEX	154.50 0.00 62.51		0.0	0.6666
		-3.038 0.00  34.73		2.0	0.6666
		-6.815 0.00  51.76  	2.0	1.0
		147.70 0.00 93.17		0.0	1.0

TEXTURE	floor01
TYPE	left_curb

QUADTEX	0.00  0.00   0.00		0.0	2.0
	0.00  240.00   0.00			0.0	0.0
	-0.76 240.00  17.43			0.3333	0.0
	-0.76 0.00  17.43			0.3333	2.0

QUADTEX	-0.76 0.00  17.43	0.3333	2.00
	-0.76 240.00  17.43		0.3333	0.00
	-3.038 240.00  34.73		0.6666 0.00
	-3.038 0.00  34.73		0.6666	2.00

